text,price,size,cleaned_text,category,brand
PAULA RYAN - Wild print shirt! 10,49.0,10,Wild print  ,shirt,PAULA RYAN 
PAULA RYAN - Zebra print stretch mesh dress! 12-14,69.0,12-14,Zebra print stretch mesh  ,dress,PAULA RYAN 
PEARL (NZ) Silk chiffon dove grey dress! 10-12,45.0,10-12,(NZ) Silk chiffon dove grey,dress,PEARL
"PEARL WOOD - BN ""Madrid"" feather print dress! 14-16",49.0,14-16,"BN ""Madrid"" feather print  ",dress,PEARL WOOD 
PER UNA - Denim boyfriend short! 14,20.0,14,Denim boyfriend  ,short,PER UNA 
PERRI CUTTEN - Grid pattern pant! 8,29.0,8,Grid pattern  ,pant,PERRI CUTTEN 
PETRENA (NZ) Duck egg blue floral skirt! 12,29.0,12,(NZ) Duck egg blue floral,skirt,PETRENA
PHILOSOPHY - Slim fit capri pant! 12-14,32.0,12-14,Slim fit capri  ,pant,PHILOSOPHY 
PHILOSSOPHY - Colourful print dress! 10-12,29.0,10-12,Colourful print  ,dress,PHILOSSOPHY 
PIA BOUTIQUE - Pink floral tunic dress! 10,49.0,10,Pink floral tunic  ,dress,PIA BOUTIQUE 
"PICADILLY (CA) - BN ""Lime multi"" layered top! 14",50.0,14,"(CA) - BN ""Lime multi"" layered",top,PICADILLY
PIERRE CHUPIN - Soft leather ankle boots! 9,59.0,9,Soft leather ankle  ,boots,PIERRE CHUPIN 
PILGRIM - Purple & silver choker necklace!,35.0,No size in title,Purple & silver choker  ,necklace,PILGRIM 
PINGPONG - Navy linen jacket! 16,45.0,16,Navy linen  ,jacket,PINGPONG 
PINK DIAMOND - Sage green crop jumpsuit! 12,39.0,12,Sage green crop  ,jumpsuit,PINK DIAMOND 
PINK STITCH - Macaw print tee! 12,35.0,12,Macaw print  ,tee,PINK STITCH 
"PINK STITCH BN ""Idol Print"" pants! 10-12",39.0,10-12,Idol Print,pants,PINK STITCH BN
PLANISPHERE (ITA) Western leather boots! 9,49.0,9,(ITA) Western leather,boots,PLANISPHERE
PLATFORM (NZ) Corset tulle skirt! 18-20,42.0,18-20,(NZ) Corset tulle,skirt,PLATFORM
"PLATFORM - ""Marble"" dress! 18-20",45.0,18-20,"""Marble""  ",dress,PLATFORM 
PLATFORM - Sheer ruffle cardi! 18,35.0,18,Sheer ruffle  ,cardi,PLATFORM 
PLEASURE STATE - Couture - silk blend! 8,25.0,8,Couture - silk  ,blend,PLEASURE STATE 
