text,price_x,size,cleaned_text,category,brand,lower_title,TITLE,BUST,COLOUR,CONDITION,DESIGNER NOTES,FABRIC,FITS LIKE,HEIGHT,INNER SOLE,MEASUREMENTS,NOTES,SIZE ON BELT,SIZE ON SHOE,SIZE ON TAG,WAIST,price_y,url
QQ - Embroidered tree crop pant! 12,35.0,12,Embroidered tree crop  ,pant,QQ ,qq - embroidered tree crop pant! 12,QQ - EMBROIDERED TREE CROP PANT! 12,," White, silver, metallic grey", Excellent preloved,," 90% polyester, 10% cotton", N/A,,,WAIST: 44cms      HIPS: 55cms      RISE: 41cms      LENGTH: 57cms (From crotch to end of pant),,,, 12, 44cms      HIPS,$35.00,https://recycle-style.myshopify.com/collections/all/products/qq-white-pant-10-12
QUIKSILVER - Skinny jeans! 8,29.0,8,Skinny  ,jeans,QUIKSILVER ,quiksilver - skinny jeans! 8,QUIKSILVER - SKINNY JEANS! 8,, Blue, Like new,," 98% cotton, 2% spandex", 8 going by measurements,,,WAIST: 36cms      HIPS: 50cms      RISE: 22cms      LENGTH: 74cms (From crotch to end of pant),,,, 28, 36cms      HIPS,$29.00,https://recycle-style.myshopify.com/collections/all/products/quiksilver-skinny-fit-denim-pant-6
QUIZ - Paisley shirt dress! 12,29.0,12,Paisley shirt  ,dress,QUIZ ,quiz - paisley shirt dress! 12,QUIZ - PAISLEY SHIRT DRESS! 12, 54cms     WAIST," Blue, satin beige, multi"," Excellent preloved, button to be repaired",," 97% polyester, 3% elastane", N/A,,,BUST: 54cms     WAIST: 52cms     LENGTH: 88-90cms, SS 16.  Button up front and sleeve ends.  Adjustable sleeve length buttons in place.  Comes with matching waist belt.  ,,, 12,,$29.00,https://recycle-style.myshopify.com/collections/all/products/quiz-paisley-shirt-dress-12
RACHEL LLOYD HATELY - Leather flower choker necklace!,15.0,No size in title,Leather flower choker  ,necklace,RACHEL LLOYD HATELY ,rachel lloyd hately - leather flower choker necklace!,RACHEL LLOYD HATELY - LEATHER FLOWER CHOKER NECKLACE!,,,,,,,,,,,,,,,$15.00,https://recycle-style.myshopify.com/collections/all/products/rachel-lloyd-hately-leather-flower-necklace
RALPH LAUREN - Knit cotton cardi! 14,35.0,14,Knit cotton  ,cardi,RALPH LAUREN ,ralph lauren - knit cotton cardi! 14,RALPH LAUREN - KNIT COTTON CARDI! 14, 50cms     WAIST, Cream, Excellent preloved,, Cotton, 14,,,BUST: 50cms     WAIST: Free     LENGTH: 75cms, Open front no fastening.  Fabric has stretch.  Full length sleeves.  ,,, L,,$35.00,https://recycle-style.myshopify.com/collections/all/products/ralph-lauren-knit-cardi-14
RANDOM - Printed 3/4 cargo pant! 12,42.0,12,Printed 3/4 cargo  ,pant,RANDOM ,random - printed 3/4 cargo pant! 12,RANDOM - PRINTED 3/4 CARGO PANT! 12,," Black, white", Excellent preloved,, Polyester, N/A,,,WAIST: 43cms      HIPS: 62cms      RISE: 31cms      LENGTH: 47cms (From crotch to end of pant),,,, 12, 43cms      HIPS,$42.00,https://recycle-style.myshopify.com/collections/all/products/random-monochrome-3-4-pant-12
RANDOM - Rayon hem top! 16,22.0,16,Rayon hem  ,top,RANDOM ,random - rayon hem top! 16,RANDOM - RAYON HEM TOP! 16, 55cms     WAIST, Red, Excellent preloved,," Cotton, Contrast - rayon", N/A,,,BUST: 55cms     WAIST: 58cms     LENGTH: 65-76cms, Adjustable sleeve length button in place.  Fabric has stretch.  ,,, 16,,$22.00,https://recycle-style.myshopify.com/collections/all/products/random-red-top-16
RAVE - Frilly broderie shorts! 12-14,29.0,12-14,Frilly broderie  ,shorts,RAVE ,rave - frilly broderie shorts! 12-14,RAVE - FRILLY BRODERIE SHORTS! 12-14,, White, Excellent preloved,," Viscose, Lining - polyester, Trim - cotton", 12-14,,,WAIST: 39cms      HIPS: 61cms      RISE: 35cms      LENGTH: 4cms (From crotch to end of pant),,,, 14, 39cms      HIPS,$29.00,https://recycle-style.myshopify.com/collections/all/products/rave-frilly-shorts-12-14
REBECCA TAYLOR - Purple silk top! 10,25.0,10,Purple silk  ,top,REBECCA TAYLOR ,rebecca taylor - purple silk top! 10,REBECCA TAYLOR - PURPLE SILK TOP! 10, 46cms     WAIST, Purple, Excellent preloved,, Silk, N/A,,,BUST: 46cms     WAIST: 41cms     LENGTH: 71cms, Side hook eye and zip access.  ,,, 10,,$25.00,https://recycle-style.myshopify.com/collections/all/products/rebecca-taylor-rosette-detailed-purple-silk-top-10
RED + BLACK indent bangle!,13.0,No size in title,red + black indent  ,bangle,Not listed in title,red + black indent bangle!,RED + BLACK INDENT BANGLE!,," Black, red", Excellent preloved,, Resin,,,,INNER DIAMETER: 7cm      DEPTH: 5cms,,,,,,$13.00,https://recycle-style.myshopify.com/collections/all/products/black-and-red-indented-bangle
RED + Copper glass earring!,12.0,No size in title,red + copper glass  ,earring,Not listed in title,red + copper glass earring!,RED + COPPER GLASS EARRING!,," Ruby red - deeper than pics show, copper, silver", Excellent preloved,," Resin, metal",,,,LENGTH: 5cms      WIDTH: 1.5cms    ,,,,,,$12.00,https://recycle-style.myshopify.com/collections/all/products/red-resin-earring
RED + WHITE stripe bangle!,10.0,No size in title,red + white stripe  ,bangle,Not listed in title,red + white stripe bangle!,RED + WHITE STRIPE BANGLE!,," Red, white", Excellent preloved,, Resin,,,,INNER DIAMETER: 6.7cms     DEPTH: 2.7cms     ,,,,,,$10.00,https://recycle-style.myshopify.com/collections/all/products/red-and-white-bangle
RED CURRENT - Knitted + pompom beanie!,12.0,No size in title,Knitted + pompom  ,beanie,RED CURRENT ,red current - knitted + pompom beanie!,RED CURRENT - KNITTED + POMPOM BEANIE!,,,,,,,,,,,,,,,$12.00,https://recycle-style.myshopify.com/collections/all/products/red-current-knited-beany
RED wooden large bangle!,12.0,No size in title,red wooden large  ,bangle,Not listed in title,red wooden large bangle!,RED WOODEN LARGE BANGLE!,,,,,,,,,,,,,,,$12.00,https://recycle-style.myshopify.com/collections/all/products/red-wooden-bracelet
REDCURRENT - Gem bracelet!,12.0,No size in title,Gem  ,bracelet,REDCURRENT ,redcurrent - gem bracelet!,REDCURRENT - GEM BRACELET!,," Gold, transparent muted yellow", Excellent preloved,," Metal, glass",,,,WIDTH: 6cms     DEPTH: 1.5cms,,,,,,$12.00,https://recycle-style.myshopify.com/collections/all/products/gem-bracelet
"REDHEAD - BN ""Audrey A Lister"" dress! 10",49.0,10,"BN ""Audrey A Lister""  ",dress,REDHEAD ,"redhead - bn ""audrey a lister"" dress! 10","REDHEAD - BN ""AUDREY A LISTER"" DRESS! 10",,,,,,,,,,,,,,,$49.00,https://recycle-style.myshopify.com/collections/all/products/redhead-office-aunrey-a-lister-dress-10
REDHEAD - Linen metallic floral dress! 10,40.0,10,Linen metallic floral  ,dress,REDHEAD ,redhead - linen metallic floral dress! 10,REDHEAD - LINEN METALLIC FLORAL DRESS! 10, 45cms     WAIST, Khaki brown, Excellent preloved,," Linen, Lining - cotton", N/A,,,BUST: 45cms     WAIST: 41cms     LENGTH: 104cms, Made in NZ.  Buttons sewn into shoulder straps.  Back zip access.  Fully lined.  Billowed hemline.  ,,, 10,,$40.00,https://recycle-style.myshopify.com/collections/all/products/redhead-linen-khaki-floral-dress-11
REDHEAD - Monochrome print dress! 12,39.0,12,Monochrome print  ,dress,REDHEAD ,redhead - monochrome print dress! 12,REDHEAD - MONOCHROME PRINT DRESS! 12, 54cms     WAIST," Black, white", Excellent preloved,," 92% polyester, 8% elastane", N/A,,,BUST: 54cms     WAIST: 43cms     LENGTH: 100cms, Made in NZ.  Pull over style.  Fabric has stretch.  ,,, 12,,$39.00,https://recycle-style.myshopify.com/collections/all/products/redhead-monochrome-dress-12
REDHEAD - Pin-tuck skirt! 14,35.0,14,Pin-tuck  ,skirt,REDHEAD ,redhead - pin-tuck skirt! 14,REDHEAD - PIN-TUCK SKIRT! 14,, Grey, Excellent preloved,," 91% cotton, 9% metal, Lining - cotton", N/A,,,WAIST: 47cms      HIPS: 60cms      LENGTH: 68cms ,,,, 14, 47cms      HIPS,$35.00,https://recycle-style.myshopify.com/collections/all/products/redhead-grey-skirt-14
